Número,Título,Temas Relacionados,Textos Bíblicos Base
170,"Oh, Que Belo Hino Deus me Deu!",Adoração e Louvor | Graça e Salvação | Lar e Família | Oração e Comunhão | Sacrifício e Redenção,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2
171,Com Cristo no Meu Coração,Oração e Comunhão | Sacrifício e Redenção,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22
172,Ando Sempre Alegre,Graça e Salvação | Igreja e Comunhão | Sacrifício e Redenção,Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Salmos 133:1; Hebreus 10:25
173,Que Prazer é Ser de Cristo,Palavra de Deus e Lei | Sacrifício e Redenção,Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7
174,Que Consolo e Paz!,"Graça e Salvação | Paz, Cuidado e Confiança | Sábado e Criação",Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 23:1-4; João 14:27; Salmos 46:1 | Êxodo 20:8-11; Gênesis 2:2-3
175,"De Ti Careço, ó Deus",Graça e Salvação | Palavra de Deus e Lei,Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7
176,Nunca Desanimes,Lar e Família | Sacrifício e Redenção,Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4
177,"Conduze-me, Meu Mestre","Graça e Salvação | Oração e Comunhão | Paz, Cuidado e Confiança | Sacrifício e Redenção",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Salmos 23:1-4; João 14:27; Salmos 46:1
178,Deus Cuidará de Ti,Graça e Salvação | Lar e Família | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4
179,Eu Sei em Quem Eu Creio,Graça e Salvação | Lar e Família | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4
180,Nunca te Deixarei,Graça e Salvação | Sacrifício e Redenção,Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22
181,Cuidará de Mim Também,"Espírito Santo | Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | João 14:16-17; Atos 2:1-4 | Salmos 23:1-4; João 14:27; Salmos 46:1
182,Eu Pertenço ao Meu Rei,"Adoração e Louvor | Crianças e Jovens | Graça e Salvação | Oração e Comunhão | Palavra de Deus e Lei | Paz, Cuidado e Confiança | Sábado e Criação",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Mateus 19:14; Provérbios 22:6 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1 | Êxodo 20:8-11; Gênesis 2:2-3
183,"Oh, Não temas, Sou Contigo",Vida Cristã e Devoção,Salmos 1:1-2; Provérbios 3:5-6
184,Quero Ter Jesus Comigo,"Graça e Salvação | Missão e Serviço | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 23:1-4; João 14:27; Salmos 46:1
185,Cada Momento,"Graça e Salvação | Paz, Cuidado e Confiança | Sacrifício e Redenção",Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Salmos 23:1-4; João 14:27; Salmos 46:1
186,"Ó Mestre, o Mar se Revolta","Oração e Comunhão | Paz, Cuidado e Confiança | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Salmos 23:1-4; João 14:27; Salmos 46:1
187,Refúgio em Temporal,"Paz, Cuidado e Confiança",Salmos 23:1-4; João 14:27; Salmos 46:1
188,Minha Esperança,Graça e Salvação | Sacrifício e Redenção | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22
189,"Deus Sabe, Deus Ouve, Deus Vê",Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6
190,Pertenço a Cristo,"Adoração e Louvor | Lar e Família | Paz, Cuidado e Confiança",Josué 24:15; Efésios 6:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1
191,Olha com Fé Para Cima,"Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Salmos 23:1-4; João 14:27; Salmos 46:1
192,Brilho Celeste,"Adoração e Louvor | Graça e Salvação | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1
193,Sob Suas Asas,"Crianças e Jovens | Graça e Salvação | Lar e Família | Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Mateus 19:14; Provérbios 22:6 | Salmos 23:1-4; João 14:27; Salmos 46:1
194,Tem Fé em Deus,"Lar e Família | Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Josué 24:15; Efésios 6:1-4 | Salmos 23:1-4; João 14:27; Salmos 46:1
195,Minha Fé bem Segura Está,"Graça e Salvação | Oração e Comunhão | Paz, Cuidado e Confiança | Sacrifício e Redenção | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Salmos 23:1-4; João 14:27; Salmos 46:1
196,Ao Jesus me Tomar a Mão,Oração e Comunhão | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6
197,Sou Feliz Com Jesus,"Graça e Salvação | Oração e Comunhão | Paz, Cuidado e Confiança | Sacrifício e Redenção | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Salmos 23:1-4; João 14:27; Salmos 46:1
198,Deus Vos Guarde,Adoração e Louvor | Graça e Salvação | Missão e Serviço,Efésios 2:8-9; João 3:16; 1 João 1:9 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2
199,Ao Passares pelas Águas,Vida Cristã e Devoção,Salmos 1:1-2; Provérbios 3:5-6
200,Nunca Me Deixar,"Paz, Cuidado e Confiança",Salmos 23:1-4; João 14:27; Salmos 46:1
201,Dia a Dia,"Crianças e Jovens | Graça e Salvação | Lar e Família | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Mateus 19:14; Provérbios 22:6 | Salmos 23:1-4; João 14:27; Salmos 46:1
202,Não Ando Só,"Graça e Salvação | Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 23:1-4; João 14:27; Salmos 46:1
203,Abrigo na Rocha,"Adoração e Louvor | Graça e Salvação | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1
204,Meu Divino Protetor,Crianças e Jovens | Graça e Salvação | Lar e Família | Sacrifício e Redenção,Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4 | Mateus 19:14; Provérbios 22:6
205,Ergo Os Meus Olhos,Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3
206,Fixa Teus Olhos No Mestre,Graça e Salvação | Lar e Família | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4
207,Confiei No Meu Senhor,Adoração e Louvor,Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2
208,Confia em Deus,Missão e Serviço | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15
209,Todas As Coisas Contribuem,Vida Cristã e Devoção,Salmos 1:1-2; Provérbios 3:5-6
210,Sempre Confiante,"Crianças e Jovens | Graça e Salvação | Paz, Cuidado e Confiança | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Mateus 19:14; Provérbios 22:6 | Salmos 23:1-4; João 14:27; Salmos 46:1
211,Jesus Meu Guia É,"Graça e Salvação | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 23:1-4; João 14:27; Salmos 46:1
212,Bendita Segurança,"Adoração e Louvor | Graça e Salvação | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1
213,Não Me Esqueci De Ti,Crianças e Jovens | Lar e Família | Missão e Serviço | Palavra de Deus e Lei | Sacrifício e Redenção | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4 | Mateus 19:14; Provérbios 22:6 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7
214,Não Há O Que Temer,Adoração e Louvor | Graça e Salvação | Oração e Comunhão | Sacrifício e Redenção,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2
215,A Única Saída,"Paz, Cuidado e Confiança | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Salmos 23:1-4; João 14:27; Salmos 46:1
216,Pode Cair o Mundo,"Adoração e Louvor | Paz, Cuidado e Confiança",Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1
217,Fé Dos Nossos Pais,Lar e Família | Missão e Serviço | Oração e Comunhão | Sacrifício e Redenção,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15
218,"Ouve-nos, Pastor Divino","Adoração e Louvor | Graça e Salvação | Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1
219,Da Igreja o Fundamento,"Adoração e Louvor | Graça e Salvação | Igreja e Comunhão | Lar e Família | Missão e Serviço | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 133:1; Hebreus 10:25 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1
220,Fortalece Tua Igreja,Adoração e Louvor | Graça e Salvação | Igreja e Comunhão | Lar e Família | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Salmos 133:1; Hebreus 10:25 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2
221,Somos Igreja,Graça e Salvação | Igreja e Comunhão | Lar e Família | Palavra de Deus e Lei | Sacrifício e Redenção,Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7 | Salmos 133:1; Hebreus 10:25
222,Somos Um Pequeno Povo,Oração e Comunhão | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6
223,Há Um Dever,Graça e Salvação | Lar e Família | Missão e Serviço,Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15
224,Mensagem Ao Mundo,"Adoração e Louvor | Graça e Salvação | Missão e Serviço | Paz, Cuidado e Confiança | Sacrifício e Redenção | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1
225,Dai-nos Luz,"Graça e Salvação | Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 23:1-4; João 14:27; Salmos 46:1
226,Cristo Nos Conclama,"Graça e Salvação | Lar e Família | Missão e Serviço | Oração e Comunhão | Paz, Cuidado e Confiança | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 23:1-4; João 14:27; Salmos 46:1
227,Se Cristo For Comigo,"Lar e Família | Palavra de Deus e Lei | Paz, Cuidado e Confiança | Sacrifício e Redenção",Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7 | Salmos 23:1-4; João 14:27; Salmos 46:1
228,Onde Quer Que Seja,Graça e Salvação | Lar e Família | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4
229,Trabalho Cristão,Adoração e Louvor | Graça e Salvação | Missão e Serviço | Oração e Comunhão | Sacrifício e Redenção | Segunda Vinda e Esperança | Sábado e Criação,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Êxodo 20:8-11; Gênesis 2:2-3
230,Ao Mundo Vou Contar,"Adoração e Louvor | Graça e Salvação | Lar e Família | Oração e Comunhão | Paz, Cuidado e Confiança | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1
231,Trabalhar e Orar,"Graça e Salvação | Missão e Serviço | Oração e Comunhão | Paz, Cuidado e Confiança",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 23:1-4; João 14:27; Salmos 46:1
232,Jesus Precisa De Ti,Graça e Salvação | Palavra de Deus e Lei | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7
233,Brilha Por Cristo Em Teu Viver,Graça e Salvação | Lar e Família | Missão e Serviço | Palavra de Deus e Lei,Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7
234,Hoje Ajuda a Alguém,Graça e Salvação | Palavra de Deus e Lei,Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7
235,"Somos Teus, Senhor",Adoração e Louvor | Espírito Santo | Igreja e Comunhão | Lar e Família | Missão e Serviço | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Josué 24:15; Efésios 6:1-4 | João 14:16-17; Atos 2:1-4 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 133:1; Hebreus 10:25 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2
236,Transbordando Em Amor,Graça e Salvação | Igreja e Comunhão | Lar e Família | Missão e Serviço | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 133:1; Hebreus 10:25
237,A Colheita,Graça e Salvação | Lar e Família | Missão e Serviço | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15
238,Oração Pela Missão,Graça e Salvação | Lar e Família | Missão e Serviço | Oração e Comunhão | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15
239,Geração Esperança,Graça e Salvação | Lar e Família | Sacrifício e Redenção | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4
240,Brilhar Por Ti,Graça e Salvação | Oração e Comunhão | Palavra de Deus e Lei,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7
241,A Todo Semelhante Meu,"Graça e Salvação | Lar e Família | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Salmos 23:1-4; João 14:27; Salmos 46:1
242,Benditos Laços,Graça e Salvação | Igreja e Comunhão | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 133:1; Hebreus 10:25
243,"Jesus, Pastor Amado","Adoração e Louvor | Crianças e Jovens | Graça e Salvação | Igreja e Comunhão | Lar e Família | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Mateus 19:14; Provérbios 22:6 | Salmos 133:1; Hebreus 10:25 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1
244,Ó Vem à Igreja Comigo,Adoração e Louvor | Graça e Salvação | Igreja e Comunhão | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 133:1; Hebreus 10:25 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2
245,Lado a Lado,Graça e Salvação | Lar e Família,Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4
246,Em Família,Graça e Salvação | Lar e Família | Oração e Comunhão | Sacrifício e Redenção,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4
247,Unidos Em Cristo,"Espírito Santo | Graça e Salvação | Igreja e Comunhão | Lar e Família | Missão e Serviço | Paz, Cuidado e Confiança | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | João 14:16-17; Atos 2:1-4 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 133:1; Hebreus 10:25 | Salmos 23:1-4; João 14:27; Salmos 46:1
248,Encontros,"Graça e Salvação | Igreja e Comunhão | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Salmos 133:1; Hebreus 10:25 | Salmos 23:1-4; João 14:27; Salmos 46:1
249,"Oh, Que Belos Hinos!",Adoração e Louvor | Crianças e Jovens | Graça e Salvação | Lar e Família | Missão e Serviço | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Mateus 19:14; Provérbios 22:6 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2
250,A Jesus Seguir Eu Quero,Vida Cristã e Devoção,Salmos 1:1-2; Provérbios 3:5-6
251,Meu Jesus Está Chamando,"Graça e Salvação | Missão e Serviço | Paz, Cuidado e Confiança | Sacrifício e Redenção",Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 23:1-4; João 14:27; Salmos 46:1
252,Volto ao Lar,Graça e Salvação | Lar e Família | Palavra de Deus e Lei,Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7
253,Importa Renascer,Adoração e Louvor | Crianças e Jovens | Graça e Salvação | Lar e Família | Palavra de Deus e Lei | Sábado e Criação,Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Mateus 19:14; Provérbios 22:6 | Salmos 119:105; 2 Timóteo 3:16; Salmos 19:7 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Êxodo 20:8-11; Gênesis 2:2-3
254,Agora Posso Ver,"Graça e Salvação | Oração e Comunhão | Paz, Cuidado e Confiança | Sacrifício e Redenção",1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Salmos 23:1-4; João 14:27; Salmos 46:1
255,As Águas Batismais,Lar e Família | Oração e Comunhão,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Josué 24:15; Efésios 6:1-4
256,A Ceia do Senhor,"Adoração e Louvor | Graça e Salvação | Igreja e Comunhão | Paz, Cuidado e Confiança | Sacrifício e Redenção",Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Salmos 133:1; Hebreus 10:25 | Salmos 150:1-6; Apocalipse 4:8; Salmos 95:1-2 | Salmos 23:1-4; João 14:27; Salmos 46:1
257,"Senhor, Tu nos Convidas",Graça e Salvação | Sacrifício e Redenção,Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22
258,A Última Ceia,"Graça e Salvação | Igreja e Comunhão | Oração e Comunhão | Paz, Cuidado e Confiança | Sacrifício e Redenção | Segunda Vinda e Esperança",1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | 1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Salmos 133:1; Hebreus 10:25 | Salmos 23:1-4; João 14:27; Salmos 46:1
259,Em Memória De Ti,Graça e Salvação | Missão e Serviço | Sacrifício e Redenção,Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15
260,Em Memória De Mim,Lar e Família | Oração e Comunhão | Sacrifício e Redenção,1 Tessalonicenses 5:17; Mateus 7:7; Filipenses 4:6 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Josué 24:15; Efésios 6:1-4
261,Quem se Dispõe a Ir?,Lar e Família | Segunda Vinda e Esperança,1 Tessalonicenses 4:16-17; Apocalipse 1:7; João 14:1-3 | Josué 24:15; Efésios 6:1-4
262,Irei Aonde Jesus Mandar,"Graça e Salvação | Lar e Família | Missão e Serviço | Paz, Cuidado e Confiança",Efésios 2:8-9; João 3:16; 1 João 1:9 | Josué 24:15; Efésios 6:1-4 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15 | Salmos 23:1-4; João 14:27; Salmos 46:1
263,Mãos,Graça e Salvação | Missão e Serviço | Sacrifício e Redenção,Efésios 2:8-9; João 3:16; 1 João 1:9 | Isaías 53:4-5; Romanos 5:8; Hebreus 9:22 | Mateus 28:19-20; Isaías 6:8; Marcos 16:15
